time,Outdoor Temp.,Diff. Solar Rad.,Direct Solar Rad.,HVAC Power,Sys Out Temp.,Heat Coil Power,Cool Coil Power,Occupancy Flag,MA Temp.,Indoor Temp. Setpoint,In Node Temp Zone 1,In Node Temp Zone 2,In Node Temp Zone 3,In Node Temp Zone 4,In Node Temp Zone 5,In Node Flow Zone 1,In Node Flow Zone 2,In Node Flow Zone 3,In Node Flow Zone 4,In Node Flow Zone 5,PPD,PPD Zone 1,PPD Zone 2,PPD Zone 3,PPD Zone 4,PPD Zone 5,PMV Zone 1,PMV Zone 2,PMV Zone 3,PMV Zone 4,PMV Zone 5,Indoor Temp.,Temp Zone 1,Temp Zone 2,Temp Zone 3,Temp Zone 4,Temp Zone 5,Lights Zone 1,Lights Zone 2,Lights Zone 3,Lights Zone 4,Lights Zone 5,Shade On Zone 1,Blind Angle Zone 1,Blind Angle Zone 4,Blind Angle Zone 2,Blind Angle Zone 3,Illum 1 Zone 1,Illum 2 Zone 1,Illum 1 Zone 3,Illum 2 Zone 3,Illum 1 Zone 2,Illum 1 Zone 4,time,SPACE1-1 Occupied,SPACE2-1 Occupied,SPACE3-1 Occupied,SPACE4-1 Occupied,SPACE5-1 Occupied
1991-01-01 00:15:00,1.8,0.0,0.0,1061.0565569636437,12.575171149190439,0.0,0.0,0.0,12.190502592712939,12.8,12.575171149190439,12.575171149190439,12.575171149190439,12.575171149190439,12.575171149190439,0.3628404142389626,0.1563733874798514,0.3530339165568285,0.1563733874798514,0.6677566276166628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.92866983389014,13.738352902682964,13.841473889246744,13.76047733497753,13.841362251201343,14.461682791342113,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 00:15:00,,,,,
1991-01-01 00:30:00,3.6,0.0,0.0,701.0565569636436,12.7184284503967,0.0,0.0,0.0,12.333791994991364,12.8,12.7184284503967,12.7184284503967,12.7184284503967,12.7184284503967,12.7184284503967,0.3628404142389626,0.1563733874798514,0.3530339165568285,0.1563733874798514,0.6677566276166628,96.89193774860048,97.61067611192527,97.38533375991067,97.55702833682554,97.38563125212376,94.52101928221715,-2.779062104650214,-2.756811653730776,-2.773619936394379,-2.7568400182056867,-2.5554823659363226,13.893158897220905,13.714593869346414,13.804856512741956,13.733618322935705,13.804763817525766,14.407961963554678,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 00:45:00,5.4,0.0,0.0,661.0565569636436,12.870667525388376,0.0,0.0,0.0,12.486071836286156,12.8,12.870667525388376,12.870667525388376,12.870667525388376,12.870667525388376,12.870667525388376,0.3628404142389626,0.1563733874798514,0.3530339165568285,0.1563733874798514,0.6677566276166628,96.97018296995734,97.62208788027893,97.44502606616345,97.57885088472403,97.44527078789798,94.75967923072234,-2.780232140082456,-2.7625543701263355,-2.775822204538375,-2.76257812910516,-2.5686891413701898,13.938550518304279,13.778296433108306,13.847250066301017,13.79289310234548,13.847172030051256,14.427140959715341,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 01:00:00,7.2,0.0,0.0,385.75553040177334,12.007188163032446,163.4728414440114,0.0,0.0,11.615403941486933,12.8,12.007188163032446,12.007188163032446,12.007188163032446,12.007188163032446,12.007188163032446,0.2060013145840411,0.08878041729274903,0.20043371148717512,0.08878041729274905,0.37911637654741487,96.83927688735085,97.44112724533093,97.31950529081054,97.40884550323115,97.31972019323742,94.7071862041442,-2.76217609090399,-2.7505964051425136,-2.759061222101519,-2.7506165001712253,-2.5657472354472306,13.992982329551921,13.839137016913979,13.890571839189612,13.850762534538037,13.890499890745108,14.493940366372875,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 01:15:00,7.2,0.0,0.0,181.36585270580687,11.985732763092749,0.0,0.0,0.0,11.772312271852742,12.8,11.99147518701997,11.99147518701997,11.99147518701997,11.99147518701997,11.99147518701997,0.17921560944396547,0.0772365779506642,0.17437194432385827,0.07723657795066421,0.32982106260013366,96.6004436475305,97.18946782036667,97.11998877987679,97.16710628567841,97.1201913556693,94.40546399606127,-2.7386610453632354,-2.732459417064921,-2.7366521896644045,-2.7324773288514526,-2.5492379470314495,14.09065845963237,13.947207097911447,13.979268437310452,13.954694489479781,13.979203143107869,14.592919130352314,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 01:15:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 01:30:00,7.2,0.0,0.0,181.36585270580687,11.993801273676215,0.0,0.0,0.0,11.78657835235524,12.8,11.998598355688792,11.998598355688792,11.998598355688792,11.998598355688792,11.998598355688792,0.18456565914385092,0.07954228966833872,0.17957739808590897,0.07954228966833873,0.3396670747999329,96.25769788471965,96.86552708511351,96.83148897854399,96.85171702614609,96.8316832505756,93.90807308321911,-2.710692956841293,-2.7078860649167296,-2.7095513148784756,-2.7079020191016485,-2.523377815203877,14.157030968672737,14.021359611423595,14.042306017821636,14.026518441612506,14.042249282923168,14.652721489582792,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 01:45:00,7.2,0.0,0.0,186.4043366038458,12.001924465188985,0.0,0.0,0.0,11.792776159005438,12.8,11.999358067100713,11.999358067100713,11.999358067100713,11.999358067100713,11.999358067100713,0.18791849879566674,0.08098726347350561,0.1828396204498379,0.08098726347350563,0.3458375034814564,95.97362274526478,96.59157587415952,96.57899365157337,96.58277663967675,96.57917234206309,93.53559521885113,-2.6887334884950214,-2.687757947320249,-2.6880509656451075,-2.6877717825387903,-2.5049883676119378,14.19114268283352,14.059816034411256,14.078203949391478,14.064283392602489,14.078155421605755,14.675254616156622,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 01:45:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 02:00:00,7.2,0.0,0.0,189.48948726401886,12.001602664988775,0.0,0.0,0.0,11.790850974636234,12.8,11.999778789099011,11.999778789099011,11.999778789099011,11.999778789099011,11.999778789099011,0.1895376248154916,0.08168505845593013,0.18441498630696476,0.08168505845593013,0.34881727664964757,95.78584732474273,96.40620680639562,96.39821990868334,96.39835459256564,96.39837983790004,93.32807547816903,-2.674630907281733,-2.6740358722950064,-2.674045898093969,-2.6740477773754714,-2.4950683486659173,14.212549304431622,14.084223680510306,14.103714947675915,14.088694091542106,14.103673207875648,14.68244059455413,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 02:15:00,7.2,0.0,0.0,191.61407181894592,12.001085798919583,0.0,0.0,0.0,11.78924774105832,12.8,11.999808804554368,11.999808804554368,11.999808804554368,11.999808804554368,11.999808804554368,0.19064504354564055,0.0821623228713488,0.18549247480116376,0.08216232287134881,0.3508553246938679,95.64462715296365,96.26592566924444,96.25072314715125,96.25706860091708,96.25086540922918,93.19855293827638,-2.664322832464122,-2.6632235023444784,-2.663681944862315,-2.6632337739536447,-2.488987054685695,14.229751195798883,14.103664945303661,14.125669626676295,14.108397843305,14.125633516475006,14.685390047234456,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0
1991-01-01 02:30:00,7.2,0.0,0.0,192.87941508052845,12.000634631608795,0.0,0.0,0.0,11.7881614781554,12.8,11.999863159467834,11.999863159467834,11.999863159467834,11.999863159467834,11.999863159467834,0.1913017006564699,0.08244532248441144,0.18613138442251123,0.08244532248441146,0.3520638095280273,95.51710793152904,96.13908029070863,96.11397600821782,96.12870756106571,96.11410241065812,93.08967338699492,-2.6552522179380165,-2.653483869201213,-2.6545205101152636,-2.6534927513297415,-2.4839378805416064,14.246800176798194,14.122458653990257,14.147155664524716,14.12751774110687,14.14712444928911,14.68974437508001,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0
