time,Outdoor Temp.,Diff. Solar Rad.,Direct Solar Rad.,HVAC Power,Sys Out Temp.,Heat Coil Power,Cool Coil Power,Occupancy Flag,MA Temp.,Indoor Temp. Setpoint,In Node Temp Zone 1,In Node Temp Zone 2,In Node Temp Zone 3,In Node Temp Zone 4,In Node Temp Zone 5,In Node Flow Zone 1,In Node Flow Zone 2,In Node Flow Zone 3,In Node Flow Zone 4,In Node Flow Zone 5,PPD,PPD Zone 1,PPD Zone 2,PPD Zone 3,PPD Zone 4,PPD Zone 5,PMV Zone 1,PMV Zone 2,PMV Zone 3,PMV Zone 4,PMV Zone 5,Indoor Temp.,Temp Zone 1,Temp Zone 2,Temp Zone 3,Temp Zone 4,Temp Zone 5,Lights Zone 1,Lights Zone 2,Lights Zone 3,Lights Zone 4,Lights Zone 5,Shade On Zone 1,Blind Angle Zone 1,Blind Angle Zone 4,Blind Angle Zone 2,Blind Angle Zone 3,Illum 1 Zone 1,Illum 2 Zone 1,Illum 1 Zone 3,Illum 2 Zone 3,Illum 1 Zone 2,Illum 1 Zone 4,time
1991-07-01 00:15:00,19.55,0.0,0.0,1383.7204898084788,11.999964246049577,0.0,1202.354637102672,0.0,20.299999999999994,12.8,11.999964246049577,11.999964246049577,11.999964246049577,11.999964246049577,11.999964246049577,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.122492947304938,19.438817691696,18.77527323446129,19.29011301391496,18.731304663603176,19.37695613284926,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 00:15:00
1991-07-01 00:30:00,18.8,0.0,0.0,1305.0010781127,11.999878478861275,0.0,1123.6352254068931,0.0,19.550000000000008,12.8,11.999878478861275,11.999878478861275,11.999878478861275,11.999878478861275,11.999878478861275,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,36.61766052712393,33.62156459322952,39.977823761833065,35.200243916679,40.282525216688235,34.00614514718983,-1.1663894909995893,-1.294343884738204,-1.1990337741569053,-1.300274185671682,-1.1744031484915494,19.043302961051385,19.348116523751884,18.69768130401903,19.203376581497903,18.645099420807423,19.32224097518068,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 00:30:00
1991-07-01 00:45:00,18.05,0.0,0.0,1222.208329245187,11.999885726880846,0.0,1040.8424765393802,0.0,18.799999999999994,12.8,11.999885726880846,11.999885726880846,11.999885726880846,11.999885726880846,11.999885726880846,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,37.62229366130425,34.74582871096189,40.99913089179758,36.297158144065975,41.41563655241032,34.65371400728546,-1.1897040914601185,-1.3141619514706393,-1.2213470412305238,-1.3221971657720677,-1.1878064578055023,18.955485362138095,19.24656854461134,18.61056464236592,19.10558122142642,18.551125252500952,19.26358714978583,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 00:45:00
1991-07-01 01:00:00,17.3,0.0,0.0,1135.2766119660307,11.999892681800498,0.0,953.9107592602238,0.0,18.049999999999986,12.8,11.999892681800498,11.999892681800498,11.999892681800498,11.999892681800498,11.999892681800498,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,38.70145085746395,35.972232220691396,42.09797973338952,37.497235869276686,42.60401312299909,35.33579334096305,-1.2147670946684614,-1.3353058325166265,-1.2454456406806806,-1.3449853557796405,-1.2018067607745666,18.86175641798094,19.138175261094297,18.516977541060395,19.000720060824857,18.452156187254182,19.200753039670953,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 01:00:00
1991-07-01 01:15:00,17.200000000000003,0.0,0.0,1044.1073218689173,11.999899323042033,0.0,862.7414691631105,0.0,17.299999999999994,12.8,11.999899323042033,11.999899323042033,11.999899323042033,11.999899323042033,11.999899323042033,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,39.83760959973587,37.27105592627965,43.2571833686206,38.77063921816497,43.834669734069365,36.05449975154476,-1.2409274383953988,-1.3574295030587893,-1.2706911396888243,-1.3683875823651581,-1.2164353691554264,18.763604345813985,19.025064497759836,18.418479313655567,18.890922342356866,18.349508420877857,19.134047154419804,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 01:15:00
1991-07-01 01:30:00,17.1,0.0,0.0,1034.798474897187,11.99990951715053,0.0,853.4326221913799,0.0,17.2,12.8,11.99990951715053,11.99990951715053,11.99990951715053,11.99990951715053,11.99990951715053,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,40.885731761201406,38.44939491907281,44.3227278536152,39.92696992087552,44.95649182836821,36.77307428407531,-1.264352212793239,-1.3776182886970545,-1.2933526225860024,-1.3895656308052045,-1.230941401426216,18.676265204109335,18.92730304130847,18.331445897561043,18.795619566691336,18.259296996943196,19.067660518042622,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 01:30:00
1991-07-01 01:45:00,17.0,0.0,0.0,1025.320330058427,11.999910501132883,0.0,843.9544773526201,0.0,17.10000000000001,12.8,11.999910501132883,11.999910501132883,11.999910501132883,11.999910501132883,11.999910501132883,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,41.827253300182655,39.485946081360595,45.27629343397146,40.94699379782745,45.954961900634956,37.47207128711881,-1.2847374696909908,-1.3955784513208254,-1.313154265358962,-1.4083054809415223,-1.2449434765333132,18.598929132385003,18.843193669372738,18.25451932378149,18.713289066389905,18.179917648040732,19.003725954340144,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 01:45:00
1991-07-01 02:00:00,16.9,0.0,0.0,1015.6699988700219,11.99991145948792,0.0,834.3041461642151,0.0,17.0,12.8,11.99991145948792,11.99991145948792,11.99991145948792,11.99991145948792,11.99991145948792,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,42.66434651179998,40.38731922818158,46.12534780515464,41.83664832779476,46.84013128787561,38.13228590999331,-1.3023102172015777,-1.4114939826056287,-1.330293202896826,-1.4248424868762528,-1.2580754988473872,18.527484109891326,18.766511742929076,18.18323812147437,18.63799440793225,18.106752474254442,18.942923802866485,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 02:00:00
1991-07-01 02:15:00,16.775,0.0,0.0,1005.8457901140858,11.999912396320644,0.0,824.479937408279,0.0,16.899999999999988,12.8,11.999912396320644,11.999912396320644,11.999912396320644,11.999912396320644,11.999912396320644,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,43.43246743686693,41.205712282294414,46.9080245852693,42.64625798412839,47.65175089039406,38.75059144224847,-1.318150586743487,-1.426108171864773,-1.3457918698640303,-1.4399495117051853,-1.2702961170903402,18.460154709902305,18.694484457566222,18.11592880662499,18.567121011996285,18.038022333651945,18.88521693967208,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 02:15:00
1991-07-01 02:30:00,16.65,0.0,0.0,983.9794960575372,12.000165305627549,0.0,802.6136433517304,0.0,16.774999999999995,12.8,12.000165305627549,12.000165305627549,12.000165305627549,12.000165305627549,12.000165305627549,0.07074163429499855,0.05734381240302833,0.07592669263185636,0.061466757909810134,0.10670626659954362,44.16324479875451,41.983006452769935,47.65483807943871,43.416479798871734,48.42150837798679,39.3403912847054,-1.3331016988861026,-1.4400068809142839,-1.360456252363866,-1.4542336131052922,-1.2818867031142323,18.39557388934131,18.625359679628918,18.051346742717634,18.499021964568183,17.972395929105566,18.829745130686252,79.2,34.2,79.2,34.2,148.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991-07-01 02:30:00
